London Wellbeing and Sustainability Measure - metadata for each of the individual indicators,,,,,,,,,
,,,,,,,,,
Further information can be found at: https://data.london.gov.uk/dataset/london-wellbeing-and-sustainability-measure - See Summary report,,,,,,,,,
,,,,,,,,,
Number,Domain,Core or supporting,Measure,Sub-title,Lowest geography,Demographic breakdown,Time period,Source,Supplementary source for Borough or sub-group breakdowns
ind11,Good employment and opportunities to succeed,Supporting,Being ready for school,Proportion achieving a good level of development at age 5,London and Borough,"FSM eligibility status, ethnicity, EAL status, SEN status, sex ",2016-2019; 2021-2022,DfE. Available at: https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results/2021-22 ,
ind12,Good employment and opportunities to succeed,Supporting,Access to childcare,Proportion of children aged 0-4 using any childcare,London,,,DfE Early Years and Childcare Survey. Available at: https://explore-education-statistics.service.gov.uk/find-statistics/childcare-and-early-years-provider-survey/2022 ,
ind13,Good employment and opportunities to succeed,Supporting,Developing digital skills,Proportion of Londoners who achieved Life Essential Digital Skills (EDS),London,,,Lloyds Bank Essential Digital Skills for Life. Available at: https://www.lloydsbank.com/banking-with-us/whats-happening/consumer-digital-index/essential-digital-skills.html ,
ind14,Good employment and opportunities to succeed,Supporting,Opportunities for young people,"Proportion of young people aged 16-24 in Employment, Education or Training",London,,,ONS Annual Population Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew ,
ind15,Good employment and opportunities to succeed,Supporting,High local employment rates,Unemployment rate for 16+,London / Borough - unemployment by claimant count,"Disability, sex",2016-2022,ONS Labour Force Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew. ONS Annual Population Survey. Available at:   https://www.nomisweb.co.uk/datasets/apsnew ,DWP Claimant Count. Available at: https://www.nomisweb.co.uk/sources/cc
ind16,Having a decent home,Core,Good quality housing,Proportion of new London housing meeting the Decent Homes Standard,London,Tenure,2016-2021,DLUHC English Housing Survey. Available at:   https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200010kdataservice.ac.uk/datacatalogue/series/series?id=200010 ,
ind17,Having a decent home,Core,Affordable housing,Proportion of London households' income remaining after subtracting housing costs (median)[5],London and Borough,Tenure ,2016-2022,English Housing Survey for London trend. Available at: https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200010 ,Tenure breakdown via DWP HBAI. Available at: https://www.gov.uk/government/collections/households-below-average-income-hbai--2 / Borough breakdown - Trust for London. Available at: https://trustforlondon.org.uk/data/rent-affordability-borough/ 
ind18,Having a decent home,Core,Secure housing,Proportion who have kept up with rent or mortgage payments without any difficulties in the last six months,London,"Age, sex, ethnicity, disability, tenure type ",2023 (poll) ,GLA polling / YouGov. Available upon request.,
ind19,Having a decent home,Core,Having a home,Number of households owed a prevention or relief duty,London (only those with children) ,"Ethnicity, household type",2018-2022,DLUHC Statutory Homelessness. Available in tables at: https://www.gov.uk/government/statistical-data-sets/live-tables-on-homelessness ,
ind20,Having a decent home,Core,Not being homeless or sleeping rough,Number of rough sleepers,London and most Boroughs,"Age, ethnicity, nationality",2016-2022,CHAIN rough sleeper reports. Available at: https://data.london.gov.uk/dataset/chain-reports ,
ind21,Having a decent home,Supporting,Satisfied with housing,Proportion who are fairly or very satisfied with their accommodation,London,Tenure ,2016-2020,DLUHC English Housing Survey. Available at: https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200010 ,
ind22,Having a decent home,Supporting,Access to broadband internet,Proportion of Londoners who connect to the internet at home through broadband (including using their mobile phone),London,"Age, disability, ethnicity, sex, tenure",2018-2022,Ofcom Technology Tracker. Available at: https://www.ofcom.org.uk/research-and-data/data/opendata ,
ind23,Having a decent home,Supporting,Good quality residential accommodation,"Proportion of residential care homes ranked at least 'good', derived from CQC ratings[6]",London and Borough,Type of care home,2016-2023,Care Quality Commission Care data with ratings. Available at: https://www.cqc.org.uk/about-us/transparency/using-cqc-data ,
ind24,Having a decent home,Supporting,Able to keep accommodation warm in winter,Proportion of households able to keep their accommodation warm enough in winter,London and Borough,"Tenure, household composition",2016-2021,Understanding Society. Available at: https://www.understandingsociety.ac.uk/ ,
ind25,Having a decent home,Supporting,Household accommodation has sufficient space,Overcrowding rate (bedroom standard) (London) / Proportion of households with a room occupancy rating of negative 1 or less (boroughs)[7],London and Borough ,Tenure ,2016-2021,English Housing Survey. Available at: https://www.gov.uk/guidance/english-housing-survey-datasets-and-bespoke-analysis ,Borough breakdown. ONS Census 2021. Available at: https://census.gov.uk/census-2021-results
ind26,Being healthy,Core,Healthy life expectancy,Healthy life expectancy at birth (years)[8],London and Borough,"Age, ethnicity, sex",2016-2020,Public Health Outcomes Framework. Available at: https://fingertips.phe.org.uk/profile/public-health-outcomes-framework/ ,
ind27,Being healthy,Core,Good physical health (no long-term limiting illness or disability),Proportion of Londoners who do not have a long-lasting health condition or illness that reduces their ability to carry out day-to-day activities,London and Borough,"Age, ethnicity, sex",,ONS Annual Population Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew ,
ind28,Being healthy,Core,Good mental health - adults,Proportion of Londoners reporting low or very low levels of anxiety ,London and Borough,"Age, disability, ethnicity, sex",,ONS Annual Population Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew ,
ind29,Being healthy,Core,Good mental health - children,"Rate of Londoners aged under 18 attending community or outpatient hospital services for mental health issues (per 100,000)",London and Borough,Area deprivation only,,Public Health Outcomes Framework . Available at: https://fingertips.phe.org.uk/profile/public-health-outcomes-framework ,
ind30,Being healthy,Core,A worthwhile and satisfying life,Proportion of Londoners reporting high or very high levels of life satisfaction,London and Borough,"Age, disability, ethnicity, sex",,ONS Annual Population Survey. Available at: https://www.nomisweb.co.uk/datasets/apsnew ,
ind31,Being healthy,Supporting,Healthy behaviours - healthy weight (adults),Proportion of adults who are not overweight or obese[9],London and Borough,"Age, ethnicity, sex",,Public Health Outcomes Framework . Available at: https://fingertips.phe.org.uk/profile/public-health-outcomes-framework ,
ind32,Being healthy,Supporting,Healthy behaviours - healthy weight (children),Proportion of Year 6 children who are not overweight or obese[10],London and Borough,"Sex, ethnicity",2016-2022,Public Health Outcomes Framework. Available at: https://fingertips.phe.org.uk/profile/national-child-measurement -programme/data,
ind33,Being healthy,Supporting,Healthy behaviours - physically active adults,Proportion of adult Londoners (19+) who have done at least 150 moderate intensity equivalent (MIE) minutes of physical activity per week in bouts of 10 minutes or more in the previous 28 days,London and Borough,,2016-2021,Public Health Outcomes Framework. https://fingertips.phe.org.uk/profile/public-health-outcomes-framework/data#page/4/gid/1000042/pat/15/ati/6/are/E12000007/iid/93014/age/298/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1 ,
ind34,Being healthy,Supporting,Healthy behaviours - physically active children,Proportion of children aged 5-16 who have done an average of at least 60 minutes moderate to vigorous intensity activity per day across the week[11],London and Borough,,2017-2022,Public Health Outcomes Framework. Available at: https://fingertips.phe.org.uk/profile/physical-activity/data#page/6/gid/1938132899/pat/6/par/E12000007/ati/401/are/E09000002/iid/93570/age/246/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1 ,
ind35,Being healthy,Supporting,Healthy behaviours - drug misuse,"Age standardised mortality rate from drug misuse per 100,000 population",London and Borough,Sex,,Public Health Outcomes Framework. Available at: https://fingertips.phe.org.uk/search/deaths%20from%20drug%20misuse#page/3/gid/1/pat/6/par/E12000007/ati/401/are/E09000002/iid/92432/age/1/sex/4/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1 ,
ind36,Being healthy,Supporting,Healthy behaviours - alcohol abuse,Hospital admissions for alcohol related conditions,London and Borough,Sex,,Public Health Outcomes Framework. Available at: https://fingertips.phe.org.uk/search/alcohol ,
ind37,Being healthy,Supporting,Fewer vulnerable children,Number of referrals to social care services by local authorities,London and Borough,"Age, gender, ethnicity",,DfE Children in Need. Available at: https://www.gov.uk/government/collections/statistics-children-in-need,
ind38,Positive connections and belonging,Core,Good social contact - with friends and family,Proportion of Londoners who reported meeting up in person with family members or friends about once a week or more often,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind39,Positive connections and belonging,Core,Good social contact - social care users with good social contact,Proportion of people who use care services who reported that they had as much social contact as they would like,London and Borough,"Age, sex",2016-2022,ASCOF - Adult Social Care Analytical Hub - NHS Digital. Available at: https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-outcomes-framework-ascof/2021-22 ,
ind40,Positive connections and belonging,Core,Good social contact - not lonely,Proportion of Londoners who never feel lonely,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind41,Positive connections and belonging,Core,A cohesive local community - belonging to neighbourhood ,Proportion of Londoners who feel they belong to their neighbourhood very or fairly strongly,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind42,Positive connections and belonging,Core,A cohesive local community - freedom from discrimination,Proportion of population not experiencing a hate crime in the last year[12],London and Borough,,2016-2023,Mayor's Office for Policing and Crime (MOPAC) Hate Crime Dashboard. Available at: https://www.london.gov.uk/programmes-strategies/mayors-office-policing-and-crime/data-and-statistics/hate-crime-dashboard ,Using 2021 trend- based mid-year population projections. Available at: https://data.london.gov.uk/dataset/trend-based-population-projections
ind43,Positive connections and belonging,Core,A cohesive local community - extent to which different backgrounds get on,Proportion who agree that this local area is a place where people from different backgrounds get on well together,London and Borough,"Age, disability, ethnicity, sex",2016-2022,MOPAC Public Attitude Survey. Available at: https://data.london.gov.uk/dataset/mopac-surveys ,
ind44,Positive connections and belonging,Supporting,Active participation - volunteering,Proportion of Londoners who have formally volunteered in the last 12 months,London,"Age, disability, ethnicity, sex, deprivation quintile",,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind45,Positive connections and belonging,Supporting,Active participation - cultural participation,Proportion of Londoners who have engaged with arts physically or digitally during the last 12 months,London,"Age, disability, ethnicity, sex, deprivation quintile",2021-2022,DCMS Participation Survey. Available at: https://www.gov.uk/guidance/participation-survey ,
ind46,Positive connections and belonging,Supporting,Active participation - sport,Proportion of adult Londoners (16+) who have participated in sport in the last year,London and Borough,"Age, disability, ethnicity, sex",2016-2021,Active Lives survey. Available at: https://activelives.sportengland.org/ ,
ind47,Positive connections and belonging,Supporting,Active participation - leisure activities,Proportion of adult Londoners (respondents) who have participated in any leisure activity over the past month[13],London,"Sex, age, ethnicity, disability, tenure ",2023 (poll),GLA polling / YouGov. Available upon request.,
ind48,Accessible services and safe neighbourhoods,Core,Living in a safe neighbourhood - violence and sexual offences,Proportion of population not experiencing mid or high-level violence against persons or rape in the last year[14],London and Borough,,2016-2022,Metropolitan Police Service (MPS). Available at: https://data.london.gov.uk/dataset/recorded_crime_summary  ,
ind49,Accessible services and safe neighbourhoods,Core,Living in a safe neighbourhood - feelings of safety at night,Proportion who feel very safe or fairly safe walking alone in their local area after dark,London and Borough,"Sex, age, ethnicity, disability, tenure",2016-2022,MOPAC Public Attitude Survey. Available at: https://data.london.gov.uk/dataset/mopac-surveys ,
ind50,Accessible services and safe neighbourhoods,Core,Access to diverse local services - high street diversity,Average number of retail category types appearing in London's high streets within a borough (out of nine). London is the borough average.,London and Borough,,2017-2020;2021-2022 ,GLA High Streets Data Partnership - based on Local Data Company.,
ind51,Accessible services and safe neighbourhoods,Core,Access to diverse local services - GP appointment waiting times,Proportion of GP appointments that take place within 14 days of booking ,London and Borough,,2022-2023,NHS Digital. Available at ICS level https://digital.nhs.uk/data-and-information/publications/statistical/appointments-in-general-practice/october-2022 Borough breakdown available upon request.,
ind52,Accessible services and safe neighbourhoods,Core,Accessible and affordable public transport - accessibility,TfL public transport accessibility levels (PTALs) [15],London and Borough,,,TfL. Available at: https://tfl.gov.uk/info-for/urban-planning-and-construction/planning-with-webcat/webcat ,
ind53,Accessible services and safe neighbourhoods,Core,Accessible and affordable public transport - affordability,Proportion of total household expenditure not spent on public transport,London ,,2017-2021,London Travel Demand Survey or ONS Living Costs and Food Survey. Available at: https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000028 ,
ind54,Accessible services and safe neighbourhoods,Supporting,Good quality of services,Proportion of Londoners who are satisfied with local services and amenities,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind55,Accessible services and safe neighbourhoods,Supporting,Satisfaction with local area,Proportion of Londoners who are satisfied with this local area as a place to live,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind56,Accessible services and safe neighbourhoods,Supporting,Can influence local area,Proportion of Londoners who agree they can influence decisions affecting their local area,London,"Age, disability, ethnicity, sex, deprivation quintile",2016-2021,DCMS Community Life Survey. Available at: https://www.gov.uk/government/collections/community-life-survey--2 ,
ind57,Accessible services and safe neighbourhoods,Supporting,Trusts city/local institutions,Proportion of Londoners who think their Borough council is trustworthy,London,"Sex, age, ethnicity",2022-2023,GLA polling / YouGov. Available upon request.,
ind58,Accessible services and safe neighbourhoods,Supporting,Preserving local heritage,GLA Heritage at Risk indicator - proportion of Historic England listed buildings classified as heritage not at-risk,London and Borough,,,Historic England Count data. Available at:  https://historicengland.org.uk/advice/heritage-at-risk/   Proportional data available upon request. ,
ind59,Improving the environment,Core,Good air quality,Weighted air quality index combining NO2 and PM2.5 concentrations using London Atmospheric Emissions Inventory (2019) measured to World Health Organization (WHO) 2021 guideline thresholds (0 is the worst performing and 1 is the best performing),London and Borough,,2019,London Atmospheric Emissions Inventory 2019 data. Available at: https://data.london.gov.uk/dataset/london-atmospheric-emissions-inventory--laei--2019 For calculated Index contact Tranquil City or CIU FOI request.,
ind60,Improving the environment,Core,Access to quality green and blue space,"Greenspace proximity and quality index compiled of quality green cover (forest, woodland, meadow, cemetery, allotments, grass, scrub), blue cover, and tree canopy cover (0 is the worst performing and 1 is the best performing)",London and Borough,,2023,London Tree Canopy Cover. Available at: https://data.london.gov.uk/dataset/curio-canopy?_gl=1%2a183wsy8%2a_ga%2aMjkxNDM2MjEuMTY3OTA1NTc2Mg..%2a_ga_PY4SWZN1RJ%2aMTY4MDAxOTY3NC4xLjAuMTY4MDAxOTY3NC42MC4wLjA.London . Combined with green and blue cover data available at: https://data.london.gov.uk/dataset/green-and-blue-coverOpenStreetMap: https://data.london.gov.uk/dataset/openstreetmap ,
ind61,Improving the environment,Supporting,Reducing carbon emissions ,London's historic trend consumption-based greenhouse gas emissions per capita (tonnes CO2e per capita),London and Borough,,2016-2022,"Leeds University, ReLondon and London Councils consumption-based emissions. Available at: https://data.london.gov.uk/dataset/london-s-consumption-based-greenhouse-gas-emissions",
ind62,Improving the environment,Supporting,Energy efficiency,Proportion of domestic buildings scoring at least 'C' in domestic energy efficiency ratings,London and Borough,,2016-2023,"Ministry of Housing, Communities & Local Government. Available at: https://data.london.gov.uk/dataset/domestic-energy-efficiency-ratings-borough",
ind63,Improving the environment,Supporting,Waste reduction,"Proportion of household waste sent for reuse, recycling or composting",London and Borough,,2016-2021,DEFRA. Available at: https://www.gov.uk/government/statistical-data-sets/env18-local-authority-collected-waste-annual-results-tables ,
ind64,Improving the environment,Supporting,Low noise pollution,"If overall noise level (road, rail, aircraft) > 55 dBA.  Noise pollution score calculated so that 0 is the worst performing and 1 is the best performing, based on Department for Environment, Food & Rural Affairs (Defra) Strategic Noise Mapping Round 3 (2017) and Department for Transport (DfT) Airport noise exposure contours for specialist users",Will be averaged for the purpose of our measure but also available down to individual streets,,2017,Tranquil City Index - Defra Strategic Noise Mapping Round 3 (2017) and DfT Airport noise exposure contours. Available at: https://www.gov.uk/government/publications/strategic-noise-mapping-2019 https://www.gov.uk/government/collections/airport-noise-contours ,
,,,,,,,,,
Footnotes,,,,,,,,,
"[1] The London figures measures the proportion of London households that are food secure, the demographic breakdowns measure the proportion of Londoners aged 16+ that are food secure.",,,,,,,,,
[2] London measure is ratio of household income at the 90th percentile to 10th percentile (after housing costs). Borough level data are difference between maximum and minimum ward-level estimates of children in low income families (before housing costs). Note using % children in low-income families for the Borough measure is subject to the following assumptions: patterns of BHC and AHC poverty are the same; patterns of child poverty and all people poverty are the same; inequality for wards within a borough is indicative of perceived inequality (i.e. cross border inequality is not taken into account); issues with ONS denominators with counts of children and 22 estimates are from 2020 (pre-pandemic).,,,,,,,,,
[3] Use of resident-based analysis as opposed to workplace-based analysis.,,,,,,,,,
[4] Calculated learner participation rate using GLA 2021 trend-based population projects and ONS Annual Population Survey for population breakdown by ethnicity. Controlled for age 19-64 (upper cap) as majority of learners within this age bracket not elderly reduce distortion despite being available to anyone 19+.,,,,,,,,,
"[5] The London trend data shows the proportion of income remaining after subtracting housing costs (median). The demographic breakdowns for different tenure types come from the same source as the overall London trend and show income remaining after subtracting housing costs (median) by tenure type. The borough data shows the proportion of median pay remaining after subtracting one-bed accommodation rents, sourced from Trust for London. Note this is not showing the actual rent burden of renting households and does not take account of households with more than one earner or of the variation in earnings within London.",,,,,,,,,
[6] Calculated percentage of homes meeting at least ‘Good’ standard. Exclusion of any boroughs for any given year with 3 or fewer homes to reduce distortion.,,,,,,,,,
"[7] The London trend data are based on the 'bedroom standard' and Borough data based on a room occupancy rating ""negative 1 or less"". Use of 2021 Census data for snapshot of overcrowding rate by borough and use of EHS data for backdated time series at London level.",,,,,,,,,
"[8] Calculated at birth, separate indicators for male and female as per standard reporting.",,,,,,,,,
"[9] City Intelligence is aware the use of this statistic as opposed to healthy weight excludes underweight populations, though these numbers are so low impact is minimal.",,,,,,,,,
[10] See previous footnote.,,,,,,,,,
,,,,,,,,,
"[11] Percentage of children aged 5 to 16 that meet the UK Chief Medical Officers' (CMOs') recommendations for physical activity (an average of at least 60 minutes moderate to vigorous intensity activity per day across the week). Many boroughs have no estimate reported as the value is missing due to small sample sizes. Data suppression may be due to insufficient data to report (less than 30) or the number of schools in a borough is two or fewer, or the unweighted base for the question being less than 150.",,,,,,,,,
"[12] All criminal offences perceived by the victim or any other person, to be motivated by hostility or prejudice based on a person's race or perceived race; religion or perceived religion; sexual orientation or perceived sexual orientation; disability or perceived disability and any crime motivated by hostility or prejudice against a person who is transgender or perceived to be transgender. Percentage of hate crimes out of total population, including from birth as per standard reporting. Using 2021 trend- based mid-year population projections.",,,,,,,,,
"[13] Definition of leisure includes: Spent time with friends/family; Gone to a pub/bar/club; Gone to a park; Played sport; Exercised; Gone to the cinema; Attended a place of worship; Visited a museum/gallery; Gone to a theatre/music concert; Attended a local community festival and/ or event; Pursued hobbies related to arts or culture (e.g. dance, literature, music groups, theatre groups, visual arts, etc.)",,,,,,,,,
[14] Indicator aggregates mid and high-level violence offences with high level sexual offences (Rape). Standard MPS reporting excludes sexual offences from violence statistics. ,,,,,,,,,
"[15] TfL PTAL groups scaled between 0 and 1, with 0 representing the worst and 1 representing the best accessibility. London is the borough average.",,,,,,,,,
